,id,categories,city,name,postalcode,state
245,AV3iVIl8RxPSIh2ReWei,american fast food,Canonsburg,Pizza Hut,15317,Pennsylvania
246,AV0dLP2ELD2H7whiZkn6,american fast food,Berwick,Burger King,18603,Pennsylvania
247,AVwcp3CvkufWRAb5xkTL,american fast food,Bethel Park,Pizza Hut,15102,Pennsylvania
248,AVwdaWEiIN2L1WUfviWc,american fast food,Frankfort,Burger King,40601,Kentucky
249,AV1TsxcMLD2H7whiaPVl,american fast food,Seattle,Pizza Hut,98103,Washington
250,AV0aU08W3D1zeR_xEYNP,american fast food,Crawfordsville,Arni's Crawfordsville,47933,Indiana
251,AVweHWoRkufWRAb5AIFf,sandwich,Crawfordsville,Arby's,47933,Indiana
252,AVweJvn7IN2L1WUf2ctV,american fast food,Milwaukee,Pizza Hut,53220,Wisconsin
253,AVweUUFdkufWRAb5B3wA,american fast food,Layton,Arctic Circle,84041,Utah
254,AVwcrMV1kufWRAb5xzet,american fast food,Goshen,Pizza Hut,46526,Indiana
255,AVwdMNLdkufWRAb53QP1,american fast food,Gaffney,Arby's,29341,South Carolina
256,AV0VlqyCFcQ3k02bD-Tu,american fast food,Elko,Burger King,89801,Nevada
257,AV0VlqUy-gnIPe8DVEe_,american fast food,Elko,Pizza Barn,89801,Nevada
258,AVwc_fIn_7pvs4fz1Hlp,american fast food,Coram,McDonald's,11727,New York
259,AVwcvkCbByjofQCxhsQt,american fast food,Laurel,Jerry's Subs & Pizza,20707,Maryland
260,AWEKjO0KIxWefVJwxEKA,american fast food,Brookhaven,Burger King,39601,Mississippi
261,AVwdJj6Q_7pvs4fz2wuj,american fast food,Corning,Rico's Pizza & Subs,14830,New York
262,AV3iVXt03-Khe5l_RY9W,american fast food,Corning,B's Pizza,14830,New York
263,AVzA0-yc3D1zeR_xA_aK,american fast food,Amityville,Burger King,11701,New York
264,AVweAXPDkufWRAb5_Kh3,american fast food,Pickens,McDonald's,29671,South Carolina
265,AVwcllBbkufWRAb5w014,american fast food,Spartanburg,McDonald's,29303,South Carolina
266,AVwco-CXByjofQCxgjZW,burger,Gambrills,Burger King,21054,Maryland
267,AV1gcbgDIxWefVJwflwv,american fast food,Red Springs,McDonald's,28377,North Carolina
268,AVwdINK__7pvs4fz2i2B,american fast food,Glen Cove,Domino's Pizza,11542,New York
269,AVwd7yc__7pvs4fz-jh5,ice cream,Van,Dairy Queen,75790,Texas
271,AVwdOz9n_7pvs4fz3qd8,american fast food,Tivoli,Dairy Queen,77990,Texas
272,AVwdBnojIN2L1WUfrbd5,american fast food,Rusk,Dairy Queen,75785,Texas
273,AVwdnXcZByjofQCxq3PJ,american fast food,Borger,Dairy Queen,79007,Texas
274,AVweKoosIN2L1WUf2kRf,american fast food,San Marcos,Dairy Queen,78666,Texas
275,AVwcu3XskufWRAb5ya0t,american fast food,San Antonio,Dairy Queen,78205,Texas
276,AVweNEi3IN2L1WUf25oa,ice cream,San Antonio,Dairy Queen,78223,Texas
277,AVwcnLjhkufWRAb5xHpU,american fast food,Virginia Beach,Hardee's,23454,Virginia
278,AVwdSiIBkufWRAb54Vb0,american fast food,Norfolk,Hardee's,23517,Virginia
279,AVwdeD0f_7pvs4fz6NtA,american fast food,Richmond,Hardee's,23230,Virginia
280,AVwcmYxl_7pvs4fzw5sP,american fast food,Roanoke,Hardee's,24017,Virginia
281,AVwdvTuF_7pvs4fz80iy,american fast food,Portsmouth,Hardee's,23704,Virginia
282,AVwcnKNPkufWRAb5xHWO,american fast food,Pulaski,Hardee's,24301,Virginia
283,AVwdNreZkufWRAb53gM_,american fast food,Norfolk,Hardee's,23505,Virginia
284,AVwdn266kufWRAb57s8e,american fast food,Newport News,Hardee's,23608,Virginia
285,AVwed-aAByjofQCxyfXs,american fast food,Lynchburg,Hardee's,24502,Virginia
286,AVwdNtxrByjofQCxmtQA,american fast food,Lawrenceville,Hardee's,23868,Virginia
287,AVweJybKByjofQCxvvTJ,american fast food,Lynchburg,Hardee's,24501,Virginia
288,AVwdzgMtkufWRAb59Zpi,american fast food,Meridian,Port of Subs,83642,Idaho
289,AVwdyZ8sByjofQCxsgaT,american fast food,Las Vegas,Port of Subs,89103,Nevada
290,AV-rdWaURxPSIh2RmhHw,american fast food,Las Vegas,Port of Subs,89128,Nevada
291,AVwdNDKoByjofQCxmmeo,american fast food,Las Vegas,Port of Subs,89117,Nevada
292,AVwcukONIN2L1WUfoOaO,american fast food,Dayton,Port of Subs,89403,Nevada
293,AVwc7vVQIN2L1WUfqe2w,american fast food,Utica,Taco Bell,48315,Michigan
294,AVwc5IfGkufWRAb50I6C,american fast food,Ann Arbor,Taco Bell,48108,Michigan
295,AVwchedCByjofQCxfKyk,american fast food,Bakersfield,Taco Bell,93312,California
296,AVwdAF8kkufWRAb51Rs3,american fast food,Portage,Dairy Queen,46368,Indiana
297,AV1bq0iHFcQ3k02bF5ed,american fast food,Evansville,Dairy Queen,47711,Indiana
298,AVwc7dfQkufWRAb50hqx,ice cream,Indianapolis,Dairy Queen,46201,Indiana
299,AVwc8WsLByjofQCxj4Qr,ice cream,Mishawaka,Dairy Queen,46544,Indiana
300,AVwc_UubIN2L1WUfrDsn,american fast food,Evansville,Dairy Queen,47712,Indiana
